key,bundesland,east,urban,rich,population,inflow_1000,iv_1000,iv_1000_2000,share_male,share_u20,share_20_44,share_45_64,sh_afd_2013,sh_afd_2017,sh_afd_2021,sh_cdu_csu_2013,sh_cdu_csu_2017,sh_cdu_csu_2021,sh_spd_2013,sh_spd_2017,sh_spd_2021,sh_linke_2013,sh_linke_2017,sh_linke_2021,turnout_pct_2013,turnout_pct_2017,turnout_pct_2021,d_afd_1317,d_afd_1721,farright_2021,left_2021,wage_2021,unemp_rate
01001,01,0,1,0,91113.0,10.755874573332015,7.929777746070643,9.678646131508952,0.4975799282210003,0.179436523876944,0.365403400173411,0.2532898708197513,4.009510429050038,7.513547522883643,5.423275217442638,30.55441478439425,27.1599926934708,14.073753394466529,35.62087971468713,24.64329930385013,24.558227399740247,8.170323138441587,11.566641635038868,6.204494470463222,66.6,70.9,74.0,3.504037093833605,-2.0902723054410046,5.42,6.2,2733.36,47.95144490906896
01002,01,0,1,1,246243.0,11.005388985676749,19.088246082638122,17.951434514961697,0.4867549534403008,0.1676189780014051,0.3893795965773646,0.2528234305137607,3.6560917007177514,6.933201327820162,5.017826394495609,29.10564253248244,25.8611903791276,14.527618407985084,35.25243713940284,24.09076349659309,26.012246268603395,7.252498354835255,10.700454254265914,6.414644079422124,70.4,74.1,76.2,3.2771096271024103,-1.9153749333245527,5.02,6.41,3077.21,45.06524043323059
01003,01,0,1,1,216277.0,10.726984376517152,16.44050406138277,31.535428770224346,0.4808879353791665,0.1689731224309566,0.3157894736842105,0.2797523546193076,4.277463870961983,8.874354210673657,6.6344307153661815,33.652893447232415,28.93475513026069,17.639410574978328,34.547304715743245,25.54229336862376,30.708567737988,6.601862017870373,9.697231907294768,4.554956914866495,67.8,71.4,72.4,4.596890339711673,-2.239923495307475,6.63,4.55,2959.12,43.21772541694216
01004,01,0,1,0,79496.0,23.523196135654622,13.27545547781154,25.55606464179901,0.4953959947670323,0.184197947066519,0.3031724866659958,0.2820267686424474,4.988829085000508,10.34595218383884,9.38430362012459,35.975423987001115,31.125661674318252,20.23717194966351,35.77739413019194,25.71937482752565,32.20334742688449,5.47628719406926,7.102180075763277,3.30239423582097,65.4,66.8,67.9,5.357123098838332,-0.9616485637142489,9.38,3.3,2836.62,47.436348998691756
01051,01,0,1,0,133969.0,10.338212571565064,3.2722072251997307,4.916041753266965,0.4929946480155857,0.176369160029559,0.2635759018877501,0.3053467593249184,4.129044521989436,8.567697221252441,8.804703780887168,43.502287878993606,36.722396782911154,25.48501538156197,30.22987413271056,23.38725319058148,27.94606529721147,4.843242949666663,6.160052756119322,3.1569415500645035,69.4,72.8,76.0,4.438652699263005,0.23700655963472705,8.8,3.16,2602.67,30.925064753786323
01053,01,0,1,0,200819.0,10.955138706994857,5.2147832900300095,7.559654982297103,0.4910989498005667,0.1942495481005283,0.2731763428759231,0.305384450674488,5.519451132311145,10.218959343464627,8.35472481827622,40.19297261092304,34.21625233436702,22.936656282450677,29.922521315689437,22.968458204122197,29.22035306334372,5.238862439130356,6.624462453098498,3.304672897196262,74.6,77.4,78.9,4.699508211153482,-1.864234525188408,8.35,3.3,2707.2,27.900746443314624
01054,01,0,1,0,167560.0,9.548818333731202,2.4224287251044556,2.3982807185853177,0.4896096920506087,0.1745583671520649,0.2721890666030079,0.3052100740033421,3.780779772286559,5.805913694228657,5.233519422669183,43.05647336662731,38.702363037377474,23.994825808710537,29.49874876772579,22.245495587098876,25.660876500223694,4.244439870435169,6.280758124211983,3.0208718317804277,71.1,75.3,77.7,2.025133921942098,-0.5723942715594745,5.23,3.02,2556.6,28.043685843876823
01055,01,0,1,0,202014.0,10.692328254477413,4.098925820211199,4.365293915175062,0.4822586553407189,0.1603106715376162,0.2416367182472502,0.3158295959685962,5.007492717751847,8.459928972831706,7.0297597816478765,41.13081106564968,35.60497350510257,25.31364855853481,31.66473034634877,24.777739476194675,30.070716312826637,4.295263592126753,6.028491033421249,2.826326318564583,73.0,75.9,77.8,3.452436255079859,-1.43016919118383,7.03,2.83,2491.63,26.58726622907323
01056,01,0,1,1,318326.0,9.67561556391875,11.093497758439373,12.168168906381094,0.4908301552496497,0.1917216941123251,0.2822986498118281,0.3027493827082927,4.78032169495921,8.572639666902754,6.874441583013612,40.59580657710024,34.26641340973966,22.10385242024492,31.21726531095488,22.92672719077973,29.270510327429445,5.023312454544942,7.034855021140515,3.3441950911862093,76.0,78.7,80.3,3.792317971943544,-1.6981980838891424,6.87,3.34,2899.98,29.43837449658526
01057,01,0,1,0,129687.0,9.638591377701696,3.004665624861107,4.3036944207351775,0.4838804197799317,0.1784990014419332,0.2415122564327959,0.3110103557025762,4.511732772410666,7.686135495383289,6.321461272979128,39.66470595644452,34.19719524317074,23.749207616274976,31.611099215296058,23.163794445575505,28.048036062263755,4.448754928016324,6.319684794194082,3.188317329138591,77.0,80.2,81.2,3.174402722972623,-1.3646742224041608,6.32,3.19,2366.18,22.006831833568516
